6sense Company Name,6sense Country,6sense Domain,6sense Revenue Range,6sense Employee Range,6sense Industry,6sense Buying Stage
TOHONO O'ODHAM NATION - WIC PROGRAM,United States,,$1 - $1M,0 - 9,Healthcare & Medical,Target
BSYS K.K.,Germany,,$1 - $1M,0 - 9,"Information Technology,Software,Real Estate, Rentals, and Leasing,Hardware & Semiconductors",Target
"Bgam, LLC",France,,$1 - $1M,0 - 9,"Business Services,Real Estate, Rentals, and Leasing,Financial Services",Target
"Smb International, LLC",Israel,,$1 - $1M,0 - 9,"Construction & Engineering,Consumer Goods and Services,Business Services,Consumer Goods and Services",Consideration
China Intl Capital Corp Ltd,People's Republic of China,,$1 - $1M,0 - 9,Financial Services,Target
Bud Wilson Co.,United States,,$1 - $1M,0 - 9,Financial Services,Target
Traxus,Belgium,,$1 - $1M,0 - 9,"Business Services,Construction & Engineering",Target
Kassenaerztliche Vereinigung Sachsen,Germany,,$1 - $1M,0 - 9,Healthcare & Medical,Target
Particular,Mexico,,$1 - $1M,0 - 9,"Consumer Goods and Services,Industrial Manufacturing,Construction & Engineering,Business Services,Hospitality, Travel, and Recreation",Consideration
MANUEL ANTÓNIO DA SILVA,Portugal,,$1 - $1M,0 - 9,Financial Services,Target
Beaudoin Construction Co Inc,Canada,,$1 - $1M,0 - 9,"Construction & Engineering,Construction & Engineering",Target
Mader Systems Consulting,United States,,$1 - $1M,0 - 9,Business Services,Target
Bw New Energy LLC,United States,,$1 - $1M,0 - 9,,Consideration
GINEVRA INVESTIMENTI SRL,Italy,,$1 - $1M,0 - 9,Construction & Engineering,Target
IIJ&x Oilfield Services LLC,United States,,$1 - $1M,0 - 9,Energy & Utilities,Consideration
ABM AUDIT,France,,$1 - $1M,0 - 9,Business Services,Awareness
Yolo,Finland,,$1 - $1M,0 - 9,"Consumer Goods and Services,Business Services",Target
Phillips Law Corporation,United Kingdom,,$1 - $1M,0 - 9,Business Services,Target
Birmingham International Airport Li,United Kingdom,,,,,Target
Boatmasters Florida LLC,United States,,$1 - $1M,0 - 9,,Target
PALMER DISTRIBUTION CO LTD,United States,,$1 - $1M,0 - 9,Business Services,Target
BSYSTEM INTERNATIONAL PTE. LTD.,Israel,,$1 - $1M,0 - 9,"Business Services,Software,Hardware & Semiconductors",Target
Trinity Business Services Inc,People's Republic of China,,$1 - $1M,0 - 9,Business Services,Target
"Oklahoma Green Stop, LLC",United States,,$1 - $1M,0 - 9,Consumer Goods and Services,Target
FOUR SYSTEM CO. INC.,Italy,,$1 - $1M,0 - 9,Business Services,Target
"LABKII, OOO",Russia,,,,"Information Technology,Hardware & Semiconductors",Target
FB Corporation,Japan,,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Target
VOLMAX PARTNER AS,Norway,,$1 - $1M,0 - 9,Automotive,Consideration
"TURISTAIPA - EXPLORACÃO TURÍSTICA, LDA",Portugal,,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Target
"Multivalores Grupo Financiero, S.A.",Mexico,,$1 - $1M,0 - 9,Financial Services,Target
"Ministerstwo Rozwoju, Pracy I Technologii",Poland,,,,Government,Target
SARL ALC ASSIA LINGERIE CREATION,France,,$1 - $1M,0 - 9,Industrial Manufacturing,Target
JAMBOREE BAR & CAFE PTE. LTD.,Singapore,,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Target
Simplicity,Israel,,$1 - $1M,0 - 9,Software,Target
COFINEG SAS,France,,$1 - $1M,0 - 9,Financial Services,Target
Dfcc LLC,India,,$1 - $1M,0 - 9,"Consumer Goods and Services,Consumer Goods and Services",Target
MEISEI COMPUTER K.K.,Japan,,$1 - $1M,0 - 9,Software,Target
ICMBIO - Instituto Chico Mendes,Brazil,,$1 - $1M,0 - 9,Government,Target
CELEC EMPREENDIMENTOS E PARTICIPACOES,Brazil,,$1 - $1M,0 - 9,"Real Estate, Rentals, and Leasing",Target
ALTAMAR CORUÑA DISTRIBUCIONES SL,Spain,,$1 - $1M,0 - 9,Consumer Goods and Services,Target
Inovatiq,Netherlands,,$1 - $1M,0 - 9,"Information Technology,Hardware & Semiconductors",Target
VERCA,Belgium,,$1 - $1M,0 - 9,"Consumer Goods and Services,Consumer Goods and Services,Business Services",Target
Ute AS,Argentina,,$1 - $1M,0 - 9,"Business Services,Construction & Engineering,Consumer Goods and Services",Target
JP Kotts & Co,United States,,$1 - $1M,0 - 9,Financial Services,Consideration
GBM Holz S.R.O.,Czech Republic,,$1 - $1M,0 - 9,"Real Estate, Rentals, and Leasing",Target
Hansa Services Limited Liability Company,Belgium,,$1 - $1M,0 - 9,Software,Target
"RETROMARQUES - CONSTRUCÕES, LDA",Portugal,,$1 - $1M,0 - 9,"Industrial Manufacturing,Construction & Engineering",Target
Parcincorp SA,Switzerland,,$1 - $1M,0 - 9,Construction & Engineering,Target
CAPES - Coordenação De,Brazil,,,,,Target
"Cinet, LLC",Israel,,$1 - $1M,0 - 9,Industrial Manufacturing,Consideration
BUILDING CONTROL DRAWINGS LTD,United Kingdom,,$1 - $1M,0 - 9,Software,Target
"CTBC Financial Holding Co., Ltd.",India,,$1 - $1M,0 - 9,"Financial Services,Business Services",Target
Lusitania Corp.,Brazil,,$1 - $1M,0 - 9,"Agriculture,Consumer Goods and Services,Transportation & Logistics,Real Estate, Rentals, and Leasing",Target
DATA COMMUNICATIONS Pvt Ltd,United Kingdom,,$1 - $1M,0 - 9,Telecommunications,Target
"Sumi Co., Ltd.",Argentina,,$1 - $1M,0 - 9,Industrial Manufacturing,Target
1 Production,Singapore,,$1 - $1M,0 - 9,"Media & Entertainment,Business Services",Target
PRIVATE INSURANCE S.R.O.,United States,,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Awareness
NEILL LUCKETT,United Kingdom,,,,,Target
C&K Gestion SA,Switzerland,,$1 - $1M,0 - 9,Business Services,Target
"NT Com Co., Ltd.",United States,,$1 - $1M,0 - 9,"Software,Hardware & Semiconductors",Target
Milli Reasurans,Turkey,,$1 - $1M,0 - 9,Financial Services,Target
Ministry of Science and Higher Education,Poland,,$1 - $1M,0 - 9,Government,Target
Pt Xl Axiata Tbk,Singapore,,$1 - $1M,0 - 9,"Telecommunications,Business Services",Target
FEMTONEXT,France,,$1 - $1M,0 - 9,Business Services,Target
Fusioneer,United Kingdom,,$1 - $1M,0 - 9,Construction & Engineering,Target
Haupt Pharma Wuelfing GmbH,Germany,,,,Biotech & Pharmaceuticals,Target
Imperia B.V.,Mexico,,$1 - $1M,0 - 9,"Consumer Goods and Services,Consumer Goods and Services",Target
"S.M.J., Inc.",Japan,,$1 - $1M,0 - 9,"Consumer Goods and Services,Hospitality, Travel, and Recreation,Consumer Goods and Services,Transportation & Logistics",Target
HH Pharmaceutical,People's Republic of China,,,,,Target
SNF Chile S.A.,Portugal,,$1 - $1M,0 - 9,"Industrial Manufacturing,Construction & Engineering",Target
MINISTRY OF DEFENSE,Russia,,$1 - $1M,0 - 9,Government,Target
Telesonic Corporation,India,,$1 - $1M,0 - 9,"Industrial Manufacturing,Construction & Engineering,Construction & Engineering,Business Services,Transportation & Logistics",Target
MINISTERIO DE TRABAJO Y PROMOCION,Peru,,,,Software,Target
FWD DEVELOPMENTS LIMITED,Japan,,$1 - $1M,0 - 9,Construction & Engineering,Target
OEFA,Peru,,$1 - $1M,0 - 9,Government,Target
Fleming Financial,United States,,$1 - $1M,0 - 9,"Financial Services,Business Services,Business Services",Target
Avia AG,India,,$1 - $1M,0 - 9,"Transportation & Logistics,Transportation & Logistics",Target
Thomas More Kempen,Belgium,,,0 - 9,Education,Target
Richardson & Company LLC,India,,$1 - $1M,0 - 9,"Consumer Goods and Services,Construction & Engineering,Business Services,Construction & Engineering",Target
RUSSELL AND TELFER LIMITED,United Kingdom,,$1 - $1M,0 - 9,Construction & Engineering,Target
Registro Nacional De La Poblacion,Mexico,,,,,Target
S.J. Corporation S.R.O.,Japan,,$1 - $1M,0 - 9,Consumer Goods and Services,Target
Komenda Glowna Police,Poland,,,,Government,Target
Qudos Network AB,Sweden,,$1 - $1M,0 - 9,Business Services,Target
JAMUNESH DIAMOND,India,,$1 - $1M,0 - 9,Industrial Manufacturing,Target
Datanet SA,Israel,,$1 - $1M,0 - 9,Software,Target
Irish Dept Of Agriculture,United Kingdom,,,,Government,Target
"Rad Works Co., Ltd.",Italy,,$1 - $1M,0 - 9,"Business Services,Construction & Engineering",Target
Techgen LLC,Mexico,,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Target
ART FAMILY,Singapore,,$1 - $1M,0 - 9,Business Services,Target
Asamblea Nacional Del Ecuador,Ecuador,,,,Government,Target
Asters LLC,India,,$1 - $1M,0 - 9,"Consumer Goods and Services,Software",Target
Harry Palmer,United States,,$1 - $1M,0 - 9,Business Services,Target
CHIA & THAI FOOD SUPPLIES PTE LTD,Singapore,,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Target
Double B Holdings LLC,United States,,$1 - $1M,0 - 9,Financial Services,Target
A Smile Inc,Japan,,$1 - $1M,0 - 9,"Consumer Goods and Services,Hospitality, Travel, and Recreation",Target
"PADRÃO XADREZ - TÊXTEIS, UNIPESSOAL, LDA",Portugal,,$1 - $1M,0 - 9,Industrial Manufacturing,Target
Home Finance USA,New Zealand,,$1 - $1M,0 - 9,Financial Services,Target
LOWGES CONSULTING SL,Spain,,$1 - $1M,0 - 9,Financial Services,Target
DCENR,Ireland,,,,Government,Consideration
TRINITY COLLEGE DUBLIN ASSOCIATION CAMBRIDGE BRANCH,United Kingdom,,$1 - $1M,0 - 9,Education,Awareness
Cert B.V.,Italy,,$1 - $1M,0 - 9,"Business Services,Transportation & Logistics",Target
GRAHAM HOSPITAL ASSOCIATION LABORATORY,United States,,$1 - $1M,0 - 9,Healthcare & Medical,Awareness
Natural Sciences & Engineering Re,Canada,,,,,Target
AUGUSTEA 2020 SRL SEMPLIFICATA,Italy,,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation",Target
En Revisjon AS,Norway,,$1 - $1M,0 - 9,Business Services,Target
Smart System AG,Israel,,$1 - $1M,0 - 9,Software,Target
Department Of Public Expenditure & Reform_IE,United Kingdom,,,,Associations & Non Profits,Target
"Conax Usa, Inc.",India,,$1 - $1M,0 - 9,Business Services,Target
Bitscript LLC,Japan,,$1 - $1M,0 - 9,Software,Target
T.E.So. Inc.,People's Republic of China,,$1 - $1M,0 - 9,Business Services,Target
Priority International Inc,Japan,,$1 - $1M,0 - 9,Transportation & Logistics,Target
ANDREAS FAUERBACH,Germany,,,,Media & Entertainment,Target
TOYO DENWA K.K.,Japan,,$1 - $1M,0 - 9,"Construction & Engineering,Construction & Engineering",Target
PRINCE RES & ANALYTIC SVCS LLC,United States,,$1 - $1M,0 - 9,Business Services,Target
Coriolis Telecom,France,,$1 - $1M,0 - 9,Telecommunications,Target
Crypto Never Sleeps LLC,United States,,$1 - $1M,0 - 9,Healthcare & Medical,Target
"C Brain Co., Ltd.",Japan,,$1 - $1M,0 - 9,"Business Services,Software",Target
Aduno BV,Switzerland,,$1 - $1M,0 - 9,Construction & Engineering,Target
Ja Bank,Japan,,$1 - $1M,0 - 9,Financial Services,Target
MARTEX,Denmark,,$1 - $1M,0 - 9,"Industrial Manufacturing,Consumer Goods and Services,Consumer Goods and Services,Business Services",Target
Aurum Trust & Finance SA,Switzerland,,$1 - $1M,0 - 9,Financial Services,Target
Plomberie G Bienvenue Inc.,Canada,,$1 - $1M,0 - 9,"Construction & Engineering,Construction & Engineering,Consumer Goods and Services",Target
BEST HOLIDAY HOMES LIMITED,United Kingdom,,$1 - $1M,0 - 9,"Hospitality, Travel, and Recreation,Real Estate, Rentals, and Leasing",Target
Yatai Huading Modern Logistics Co. Ltd.,People's Republic of China,,$1 - $1M,0 - 9,Transportation & Logistics,Target
Eurobank Efg Factors Sa Bulgaria Branch Branch,Bulgaria,,$1 - $1M,0 - 9,Financial Services,Target
Matega LLC,Bulgaria,,$1 - $1M,0 - 9,Construction & Engineering,Target
BAK GmbH,Brazil,,$1 - $1M,0 - 9,"Consumer Goods and Services,Consumer Goods and Services",Target
