Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score
Nippon Active Value Fund,Nippon Active Value Fund,Cold,"",5,financial services,farshogar.irani@gmail.com,http://www.nipponactivevaluefund.com,http://www.linkedin.com/company/nippon-active-value-fund,"","",85 Queen Victoria Street,London,England,United Kingdom,EC4V 4AB,"85 Queen Victoria Street, London, England, United Kingdom, EC4V 4AB","corporate governance, japanese equities, shareholder engagement, corporate reform, midcap activism, corporate restructuring japan, financial services, activist investing, board representation, activist strategies, activist fund japan, investment management, activist campaigns, japanese corporate governance, activism, japanese market, value unlocking japan, midcap stocks, undervalued companies, activist negotiation, uncovered value, value investing, regulatory environment, capital growth, board activism, activist investor japan, small cap activism, activist engagement japan, small cap stocks, activist shareholder strategies, activist investor, shareholder engagement tactics, asset management, tender offers, risk management, corporate activism japan, local market expertise, corporate governance reform, value enhancement, shareholder proposals, small and midcap, consulting, services, other financial investment activities, portfolio management, financial advisory, financial reporting, risk assessment, financial consulting, management consulting","","Outlook, WordPress.org, Vimeo, Mobile Friendly, Google Tag Manager, Remote","","","","",64181000,"",68b05e7c2592f00001923d00,6732,5239,NAVF aims to provide shareholders with attractive capital growth through its investment in a focused portfolio of quoted Japanese securities.,2020,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e786fb8dc42a0001cf53c0/picture,"","","","",""
"Skrill, a Paysafe Experience",Skrill a Paysafe Experience,Cold,"",140,financial services,farshogar.irani@gmail.com,http://www.skrill.com,http://www.linkedin.com/company/skrill,http://www.facebook.com/skrillpayments,http://www.twitter.com/skrill,25 Canada Square,London,England,United Kingdom,E14 5LQ,"25 Canada Square, London, England, United Kingdom, E14 5LQ","e-commerce, mobile payments, payments, consumer internet, mobile, internet, information technology, online merchant payments, cryptocurrency payment gateway, global payments, cryptocurrency trading api, cryptocurrency conversion, cryptocurrency, cryptocurrency wallet integration, merchant services, digital wallet, financial services, regulatory compliance, secure transactions, cryptocurrency transaction security, cryptocurrency wallet services, online payments, bank transfer, cryptocurrency wallet, cryptocurrency trading bot, cryptocurrency transfer, cryptocurrency market data, cryptocurrency payment solutions, cryptocurrency wallet app, card payments, payment platform, cryptocurrency trading platform, cryptocurrency wallet security, money transfer, e-commerce payments, cryptocurrency trading app, cryptocurrency exchange integration, cryptocurrency payments, cryptocurrency payment app, fintech, cryptocurrency portfolio management, payment processing, payment gateway, cryptocurrency wallet api, cryptocurrency exchange app, cryptocurrency analytics, international payments, digital payments, cryptocurrency payment api, cryptocurrency transaction, cryptocurrency exchange security, cryptocurrency transfer services, cryptocurrency payment platform, cryptocurrency exchange platform, cryptocurrency trading signals, cryptocurrency trading security, multi-currency support, e-wallet, cryptocurrency exchange api, cryptocurrency trading, cross-border remittance, cryptocurrency exchange, b2c, services, retail, consumers, information technology & services, finance technology, banks & credit unions",'+44 87 0383 0232,"Amazon CloudFront, Salesforce, Akamai DNS, Route 53, Outlook, Pardot, Amazon AWS, Microsoft Office 365, OneTrust, ThreatMetrix, AppDynamics, Mobile Friendly, Bootstrap Framework, Bluekai, Trustpilot, Bing Ads, Facebook Widget, Quantcast, Google Play, Facebook Login (Connect), Facebook Custom Audiences, Google Analytics, Teads, Salesforce Live Agent, Optimizely, reCAPTCHA, DoubleClick Floodlight, Google Font API, Hotjar, Google Tag Manager, Remote","","","","",233023000,2,68b05e7c2592f00001923d0a,6099,52232,"Skrill is a digital wallet service that operates under Paysafe Limited, a global online payments company. Founded in 2001 as Moneybookers, it was rebranded to Skrill in 2013 and became part of Paysafe in 2015. Skrill offers a range of services, including a digital wallet for sending and receiving money online, payment processing for businesses, and prepaid Mastercard cards for spending digital funds.

Skrill supports various payment methods, such as credit cards and bank transfers, making it a popular choice for online transactions, especially in the e-commerce and gaming sectors. The service is designed for both individuals and businesses looking for convenient and efficient online payment solutions.",2001,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68af475d999cc10001efc414/picture,Paysafe (paysafe.com),"","","",""
NLC,NLC,Cold,"",200,financial services,farshogar.irani@gmail.com,http://www.nlc.co.uk,http://www.linkedin.com/company/no-limit-capital,"","",1 Bolton Road,London,England,United Kingdom,W4 3TE,"1 Bolton Road, London, England, United Kingdom, W4 3TE","loan management, fund finance, fund finance transactions, fund management, fund finance market evolution, fund financing, non-bank lender, fund finance experience, financial technology, operational burden reduction, private equity fund finance, funds, general partners, technology-enabled processes, private capital market, fund finance scalability, scalable access, fund financing solutions, fund finance loans, fund finance market, market leading solutions, fund finance innovation, financial services, capital call solutions, fund finance partnerships, b2b, services, financial transactions processing, reserve, and clearinghouse activities, finance technology, information technology & services",'+44 20 3911 6450,"Outlook, Apache, Mobile Friendly, Roundcube Email, AI, Remote","","","","",176000000,"",68b05e7c2592f00001923d14,6211,52232,"NLC is an independent alternative fund finance lender that provides financing solutions to General Partners (GPs) and the funds they manage. The company focuses on technology-driven processes to enhance borrower experiences and reduce administrative tasks.

NLC offers flexible and cost-effective fund finance solutions tailored for alternative investment funds. This includes subscription lines, NAV facilities, and hybrid structures designed to support liquidity management, capital calls, and strategic investments for private equity, venture capital, and other alternative asset funds. The company utilizes technology-enabled platforms to streamline loan origination, management, and reporting.

Targeting GPs and alternative investment funds globally, NLC aims to fill market gaps in fund finance by leveraging a diverse capital base from institutional investors.",2021,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68ad72f2f910ec00018a0d3c/picture,"","","","",""
True Potential LLP,True Potential,Cold,"",1300,financial services,farshogar.irani@gmail.com,http://www.truepotential.co.uk,http://www.linkedin.com/company/true-potential-llp,https://www.facebook.com/TruePotentialLLP/,https://twitter.com/truepotential_,"",Nottingham,England,United Kingdom,"","Nottingham, England, United Kingdom","financial advice, investments, pensions, wealth management solutions, adviser support, auto top-up, financial services, client onboarding technology, asset management, wealthtech, personal finance, wealth management, client support, financial regulation, wealth management platform, financial sector, investment tracking, financial literacy, financial advice software, fintech solutions, investment automation, regulated financial advice, investment strategy tools, investment solutions, wealth creation, client relationship management, financial advice technology, digital investment tools, investment management, financial platform, financial technology solutions, financial data analytics, investment diversification, adviser network, investment risk management, digital financial planning, investment portfolios, client portal, client engagement tools, online investment management, investment performance analysis, financial compliance software, adviser platform, digital asset management, retirement planning, auto-enrolment, financial advice platform, uk financial services, financial services technology, digital client onboarding, wealth management technology, digital advice, wealthtech solutions, financial planning software, automated investment advice, uk wealth sector, financial data security, investment analytics, investment platform, client management, financial technology, financial advisory, digital platform, digital wealth platform, financial planning, retirement solutions, fintech innovation, investment portfolio diversification, investment portfolio management, investment monitoring, wealth growth, client engagement, investment decision tools, investment accounts, financial goals, financial planning tools, financial education, digital wealth management, investment performance, b2b, b2c, services, retail, other financial investment activities, tax planning, finance technology, information technology & services, financial consulting, consulting, management consulting",'+44 16 3681 2255,"Sendgrid, Mimecast, Microsoft Office 365, Microsoft Azure Hosting, Cloudflare DNS, Outlook, CloudFlare Hosting, DoubleClick Conversion, Apache, DoubleClick Floodlight, Adobe Media Optimizer, Google Dynamic Remarketing, Gravity Forms, Cedexis Radar, Google Tag Manager, Facebook Custom Audiences, Vimeo, Google Analytics, Google Maps (Non Paid Users), reCAPTCHA, Google Maps, Google Analytics Ecommerce Tracking, Facebook Widget, OpenSSL, Bootstrap Framework, Hotjar, Mobile Friendly, Facebook Login (Connect), WordPress.org, DoubleClick, Trustpilot, Google Play, MouseFlow, YouTube, Basis","","","","",455000000,"",68b05e7c2592f00001923d1d,6722,5239,"True Potential LLP is a financial services and technology company based in Newcastle-upon-Tyne, England. Founded in 2007 and operating as True Potential LLP since 2012, the company specializes in wealth management and investment solutions. It manages £24.5 billion in total assets and reported a revenue of £337.9 million in 2023, employing over 450 people.

The company offers a range of services, including investment management through ISAs, personal pensions, and general investment accounts. It also provides financial planning focused on retirement and wealth growth strategies. True Potential utilizes a proprietary platform that manages £32 billion in assets and features a mobile app for real-time portfolio tracking. The company supports financial advisers with compliance consultancy and back-office technology. With over 578,000 direct clients and partnerships for financial education, True Potential emphasizes an integrated approach to its services, blending human expertise with digital tools.",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68ae2e5c40c2c6000190fe05/picture,"","","","",""
First European Securities,First European Securities,Cold,"",0,financial services,farshogar.irani@gmail.com,http://www.1st-euro.co.uk,http://www.linkedin.com/company/first-european-securities,"","",Falmouth Road,"",England,United Kingdom,TR10 8BD,"Falmouth Road, England, United Kingdom, TR10 8BD","",'+44 13 2637 5505,"","","","","",52720000,"",68b05e7c2592f00001923d93,"6162, 6199","","","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,"","","","",""
Financial Group Limited,Financial Group,Cold,"",0,financial services,farshogar.irani@gmail.com,http://www.moneysupermarket.com,http://www.linkedin.com/company/financial-group-limited,https://facebook.com/moneysupermarket,https://twitter.com/MoneySupermkt,"",Ewloe,Wales,United Kingdom,CH5,"Ewloe, Wales, United Kingdom, CH5","",'+44 12 4466 5700,"Cloudflare DNS, ElasticEmail, Mimecast, Microsoft Office 365, CloudFlare Hosting, Bluekai, Brightroll, Zendesk, VueJS, Atlassian Cloud, MongoDB, Remote","","","","",124045000,"",68b05e7c2592f00001923d97,"6162, 6331","","MoneySuperMarket is an online price comparison platform that enables users to compare prices on insurance, mortgages, credit cards and loans.",1993,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,"","","","",""
WTW,WTW,Cold,"",49000,financial services,farshogar.irani@gmail.com,http://www.wtwco.com,http://www.linkedin.com/company/wtwcorporate,https://www.facebook.com/WTWcorporate,https://twitter.com/WTWcorporate,51 Lime Street,"",England,United Kingdom,EC3M 7NP,"51 Lime Street, England, United Kingdom, EC3M 7NP","risk management, insurance, reinsurance, financial services consulting, human resources consulting, exchange solutions, employee benefits, pensions administration, consulting, hr software, insurance software, institutional investment, specialty insurers, finance, insurance product design for industries, insurance product development, financial risk, actuarial services, insurance product innovation, insurance technology, data analytics platforms, insurance product design, insurance product customization, risk transfer strategies, insurance brokerage, insurance products customization, industry expertise, data analytics, risk mitigation tools, insurance analytics platforms, risk modeling, risk mitigation strategies, investment management, risk assessment tools, insurance consulting, risk decision support, risk analytics in finance, actuarial software, pension fund management, strategic risk, reinsurance risk management, product design, benefits administration, actuarial risk modeling, risk transfer, risk management consulting, risk management tools, industry-specific risk solutions, global insurance markets, insurance industry analytics, benefits consulting for large organizations, risk management software, corporate risk, risk analytics, insurance solutions, insurance risk solutions, industry solutions, corporate risk advisory, actuarial analysis, insurance data platforms, actuarial modeling, financial services, risk data modeling, risk transfer products, reinsurance solutions, specialized risk solutions, risk consulting, data-driven decision making, client risk solutions, benefits administration systems, risk management technology, risk analytics for pensions, risk assessment, pension plan actuarial services, financial analytics, actuarial data platforms, actuarial modeling tools, data-driven insights, risk management innovation, client advisory, actuarial modeling software, risk assessment software, actuarial data analysis, actuarial consulting, insurance products, financial outcomes, pension and retirement analytics, risk forecasting, global risk services, advanced analytics, risk evaluation, insurance analytics, data science in insurance, investment analytics, enterprise risk management, risk analytics platforms, pension management, risk mitigation, risk data management, b2b, services, insurance agencies and brokerages, regulatory compliance, innovation, retirement planning, talent management, insurtech, insurance agencies & brokerages",'+44 20 3124 6000,"Outlook, Microsoft Office 365, Microsoft Azure Hosting, OneTrust, Adobe Marketing Cloud, Marketo, Vimeo, WordPress.org, Ruby On Rails, ON24, New Relic, Highcharts JS Library, DoubleClick, Facebook Custom Audiences, Cvent, Mobile Friendly, Google Tag Manager, Bing Ads, Google Maps, Google AdWords Conversion, Cedexis Radar, Linkedin Marketing Solutions, Hubspot, Google Font API, Google Dynamic Remarketing, AddThis, Google Analytics, Nginx, Facebook Widget, Linkedin Widget, Facebook Login (Connect), Taleo, MediaMath, Adobe Media Optimizer, Gettyimages, Flashtalking, Webex, Google Maps (Non Paid Users), DoubleClick Conversion, Linkedin Login, DoubleClick Floodlight, YouTube",750000000,Debt Financing,750000000,2022-05-01,104941000,"",687e2c0a09639c0001f3ac5c,7389,52421,"WTW is a global advisory, broking, and solutions company focused on providing data-driven solutions in the areas of people, risk, and capital. The company aims to enhance organizational resilience through a variety of services.

WTW offers insurance consulting and technology services that help insurance companies manage risk and improve performance. Their expertise includes financial reporting, mergers and acquisitions, product development, and operational management. Additionally, WTW provides risk and capital management consulting, along with market-leading financial modeling software. They also focus on strategy and growth, offering targeted solutions to address insurance challenges, and help clients improve operational effectiveness and profitability.

The Product Solutions Team at WTW designs innovative products supported by analytics and industry-based consultancy. WTW serves a diverse range of clients, including institutions and individuals, helping them manage risk and achieve their business objectives.",1828,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68a7821002d8110001cfd68e/picture,"","","","",""
Tysers,Tysers,Cold,sage actual,790,insurance,farshogar.irani@gmail.com,http://www.tysers.com,http://www.linkedin.com/company/tysers,"",https://twitter.com/Tysers_insights,St Botolph Street,London,England,United Kingdom,EC3N 1,"St Botolph Street, London, England, United Kingdom, EC3N 1","insurance, reinsurance, risk management, insurance brokers, wholesale brokers, marine, aviation insurance, specialty insurance, north american property, casualty, international property, credit, political risks insurance, corporate insurance, commercial insurance, high net worth insurance, music, live events insurance, media, film, tv insurance, theatre insurance, contingency insurance, advertising, commercials insurance, sport insurance, mergers, acquisitions, insurance solutions, tailored insurance, marine insurance, financial services, client retention, underwriting expertise, international markets, market relationships, client-focused, global presence, property & casualty, brokerage services, digital risk management, global insurance, market innovation, client-centric solutions, content management systems, content classification technology, market-leading broker, bespoke insurance programs, content management, complex risk solutions, insurance innovation, natural language processing patents, insurance programs, patented technology, insurance brokerage, insurance technology, lloyd's broker, client service technology, natural language processing, market access, risk analytics, claims management, specialist insurance, market specialization, risk transfer, innovative insurance, b2b, government, consulting, services, retail, artificial intelligence, information technology & services",'+44 20 3037 8000,"Mimecast, Outlook, Microsoft Office 365, Amazon AWS, Microsoft Azure Hosting, Amazon SES, Vimeo, Mobile Friendly, WordPress.org, reCAPTCHA, Google Analytics, Google Tag Manager, Apache, Shutterstock, AI, Remote","","","","",126300000,"",6888d27a61c20700018c417a,6331,52421,"Tysers Insurance Brokers, established in 1820 in London, is a prominent independent international Lloyd’s broker with a workforce of over 1,000 employees. The company operates globally, with offices in the U.S., Singapore, Dubai, and Australia, providing comprehensive risk management and insurance solutions to a diverse range of clients. Tysers has evolved from a family firm to a private partnership and became incorporated in 2001, maintaining a strong focus on client-centric and entrepreneurial practices.

Tysers specializes in insurance broking and risk management, offering services that include policy negotiation and claims management. The company has expertise in areas such as Protection and Indemnity (P&I) insurance, marine insurance, and corporate and private client solutions across various industries, including aviation and energy. Tysers emphasizes long-term relationships with its clients, which include governments, corporations, and private individuals, and is committed to client satisfaction and principled business practices.",1821,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68af27cd2d39d800017c6e14/picture,EPIC Insurance Brokers & Consultants (epicbrokers.com),"","","",""
Equistone Partners Europe,Equistone Partners Europe,Cold,sage suppression 3,50,venture capital & private equity,farshogar.irani@gmail.com,http://www.equistonepe.com,http://www.linkedin.com/company/equistone-partners-europe,https://facebook.com/events/equistone-partners-private-equity-case-study/442799272743119/,"",60 Ludgate Hill,London,England,United Kingdom,EC4M 7,"60 Ludgate Hill, London, England, United Kingdom, EC4M 7","financial services, industrials, healthcare, business services, tmt, consumer, venture capital & private equity principals, growth support, strategic partner, private equity, european investments, venture capital & private equity, private equity in europe, cross-border investments, deal sourcing, european private equity landscape, operational improvement, european growth capital, fundraising, european private equity fund, growth capital, investment committee, private equity operational support, capital allocation, fund management, business growth, due diligence, active partnership, investment performance, european buyout deals, deal structuring, buyouts, european market expertise, european economies, european private equity portfolio, management empowerment strategies, long-term investment, private equity deal sourcing, sector-specific investments, strategic growth, investment monitoring, investment governance, capital deployment, ownership transition support, private equity exit strategies, value enhancement, private equity fund, european sector focus, investment returns, expansion capital, sector-focused buyouts, portfolio companies, investment firm, european private equity growth, exit strategy, investment advisory, private equity investor base, european private equity partnerships, sector expertise, transparency, investment strategy, buy-and-build strategies, investment analysis, european markets, mid-market, european private equity trends, value creation, management buy-ins, management-led buyouts, private equity governance, european private equity, good governance, management partnership models, management consulting, private equity investments, portfolio management, management partnerships, capital support, fund performance, european private equity regulations, investment process, management buyouts, governance structure, european investment opportunities, risk management, sector diversification, mid-market buyouts, investment management, investor relations, market analysis, ownership transitions, european offices, management collaboration, b2b, services, retail, other financial investment activities, acquisitions, financial advisory, health care, health, wellness & fitness, hospital & health care, fund-raising, financial consulting, consulting",'+44 20 7653 5300,"Outlook, Microsoft Office 365, SendInBlue, Google Maps (Non Paid Users), Mobile Friendly, Google Tag Manager, Google Maps, Google Font API, IoT, Circle, AI",3445000000,Debt Financing,"",2023-02-01,95000000,"",688cbdd2c194e50001c88330,6712,5239,"Equistone Partners Europe is a prominent mid-market private equity firm that operates in major European economies, including Benelux, France, Germany, Switzerland, and the UK. Founded in 1979 and previously part of Barclays Private Equity, the firm is now independently owned and managed by its key executives. It is regulated by the UK Financial Conduct Authority.

The firm specializes in providing capital and strategic support to growing mid-market businesses, focusing on buyouts, growth capital, and expansion financing. Equistone partners with management teams to enhance value creation, integrating Environmental, Social, and Governance (ESG) principles into its investment process. The firm has dedicated ESG managers and committees to ensure responsible business practices and publishes annual ESG reviews to maintain transparency with investors.

Equistone operates from key financial hubs, including London, Manchester, and Paris, and manages multiple funds. The firm emphasizes governance and transparency, adhering to industry best practices in its investment disclosures.",1979,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68abcdab2f813f0001ecd3b6/picture,"","","","",""
OakNorth,OakNorth,Cold,sage suppression 3,540,financial services,farshogar.irani@gmail.com,http://www.oaknorth.co.uk,http://www.linkedin.com/company/oaknorth-bank,https://facebook.com/oaknorthbankuk/,https://twitter.com/oaknorthbank,57 Broadwick Street,"",England,United Kingdom,W1F 9QS,"57 Broadwick Street, England, United Kingdom, W1F 9QS","lending solutions for small businesses, business savings, fintech, business finance, lending, property finance, savings accounts, neobank, digital lending solutions, financial services innovation, tailored financial services, automated loan approval, digital bank, digital credit assessment, business finance technology, financial services, credit underwriting tools, regulatory compliance, credit decisioning software, data-driven lending, ai-driven credit risk, business savings accounts, small business finance, automated credit scoring, lending platform software, banking software, sme finance solutions, entrepreneurship support, credit scoring algorithms, ai credit platform, banking for entrepreneurs, financial technology, fast funding, loan underwriting technology, uk banking, fintech innovation, credit decision automation, sme growth funding, uk financial services, bespoke lending, credit risk assessment, ai-powered credit analysis, growth capital, community economic growth, fintech platform, sme growth support, uk sme sector, credit platform licensing, banking technology, loan origination, loan automation, loan portfolio management, credit risk modeling, property development finance, digital banking infrastructure, innovative banking, credit risk analytics, lending technology, business loans, banking, business expansion loans, financial analytics, loan management system, digital financial services, financial inclusion, international banking partnerships, sme lending, loan underwriting, b2b, services, digital banking, property development, finance technology, information technology & services",'+44 330 380 1181,"Salesforce, Mailchimp Mandrill, Outlook, Microsoft Office 365, Datadog, Atlassian Cloud, OneTrust, Create React App, Amazon SES, Hubspot, Trustpilot, Google Play, WordPress.org, Bootstrap Framework, Google Tag Manager, Mobile Friendly, AI",1071443115,Debt Financing,57580200,2021-01-01,320000000,"",688cbdffd124e00001a7bb29,"",52229,"OakNorth Bank is a digital bank based in the UK, founded in September 2015 by Rishi Khosla and Joel Perlman. Headquartered in London, it operates as a fully licensed bank under the Financial Conduct Authority (FCA) and Prudential Regulation Authority (PRA). The bank focuses on providing financial services to scaling businesses in the lower middle-market segment, typically with turnovers between £1m and £100m.

The bank offers a range of services, including business lending with loans from £0.5m to £25m, business banking solutions such as current and savings accounts, and personal savings accounts with competitive rates. OakNorth leverages technology-driven solutions, utilizing proprietary credit analysis tools and AI-powered platforms, and has partnered with Microsoft to enhance its digital capabilities. Since its inception, OakNorth has lent approximately $17bn globally, contributing to job creation and housing development in the UK and US.",2015,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68adab9a6daf720001fbf821/picture,OakNorth Bank Plc (oaknorth.com),"","","",""
"Vocalink, a Mastercard company",Vocalink a Mastercard company,Cold,sage suppression 3,920,financial services,farshogar.irani@gmail.com,http://www.vocalink.com,http://www.linkedin.com/company/vocalink-a-mastercard-company,"",https://twitter.com/vocalink,1 Angel Lane,"",England,United Kingdom,EC4R 3AB,"1 Angel Lane, England, United Kingdom, EC4R 3AB","payments, atm driving, switching, mobile banking, faster payments, service bureau, financial services outsource, cross-border remittances, mobile payments, financial institutions, atm switching, cross-border payments, payment system management, payment systems modernization, payment scalability, international payment systems, bank payment systems, payment solutions, bank account-based systems, payment system compliance, mobile payment solutions, financial services, payment system support, payment innovation, payment analytics, secure transactions, faster payments system, payment system scalability, payment network management, government payments, bacs payment system, payment technology, payment system reliability, cross-border payment solutions, digital payment platforms, uk payment infrastructure, direct debit systems, international payment infrastructure, atm network management, payment automation, mobile payments app, banking transaction processing, payment service providers, payment network, payment system modernization, payment transaction processing, zapp mobile payments, payment system analytics, payment security, open banking, payment processing billions, cross-border payment technology, payment security protocols, payment processing, payment transaction billions, payment system connectivity, ach processing, payment management, open banking solutions, bacs system, digital payments, payment system integration, payment systems, real-time payments, payment system innovation, atm switching platform, digital payments innovation, payment infrastructure, connectivity solutions, payment system automation, information technology, banking, real-time settlement systems, payment system security, payment system resilience, payment reliability, mobile banking solutions, ach technology, b2b, e-commerce, government, services, retail, financial transactions processing, reserve, and clearinghouse activities, innovation, financial technology, digital banking, fraud detection, regulatory compliance, internet, information technology & services, consumer internet, consumers, finance technology, computer & network security",'+44 37 0165 0018,"MailJet, Mimecast, Outlook, Sequence Monitor SPF, Microsoft Office 365, Microsoft Azure Hosting, OneTrust, Campaign Monitor, Workday, Mobile Friendly, reCAPTCHA, Remote","","","","",240000000,"",688cbe008c12880001d4073a,3621,52232,"Vocalink, a Mastercard company, is a UK-based payment systems provider that specializes in critical financial infrastructure. Established in 2007 through the merger of Voca and LINK, Vocalink is headquartered in Rickmansworth and employs between 500 and 1,000 staff. The company generates approximately $269.5 million in annual revenue.

Vocalink operates the UK's real-time payment systems, including Faster Payments and Bacs direct debits, and manages connectivity for nearly 70,000 ATMs through the LINK platform. It also provides cross-border payment solutions in Singapore, Thailand, and the US, and processes a significant volume of UK salaries, household bills, and state benefits. The company serves UK financial institutions and has expanded its reach internationally, partnering with government entities and commercial clients in the Asia-Pacific and North America regions.",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68a83a16a31b30000152a0cd/picture,Mastercard (mastercard.com),"","","",""
Health Shield Friendly Society Ltd,Health Shield Friendly Society,Cold,"",120,insurance,farshogar.irani@gmail.com,http://www.healthshield.co.uk,http://www.linkedin.com/company/health-shield-friendly-society,https://facebook.com/HealthShieldUK/,https://twitter.com/HealthShieldUK,"",Crewe,England,United Kingdom,CW1 6,"Crewe, England, United Kingdom, CW1 6","health cash plans, tailored schemes specific to company requirements, employee benefits, workplace health screens, insurance & employee benefit funds, health assessments, health checks, mygymdiscounts gym discounts, employee engagement, health shield trustpilot reviews, wellbeing services, health and wellness services, employee wellbeing, health and safety, gp anytime, on-site health checks, wellbeing consultancy, discounts on gym memberships, corporate health solutions, workplace health services, healthcare cost reimbursement, healthcare discounts, skinvision skin cancer detection, online health assessments, health shield modern slavery statement, employee assistance programme, workplace wellness, healthcare support, workplace wellbeing, workplace training, mental health programs, home assistance post-hospital support, friendly society regulated by fca, supplementary wellbeing services, health shield cookie policy, mental health support, wellbeing calendar, employee health benefits, employee health programs, healthcare claims management, health shield member app, digital health assessments, health insurance, workplace health promotion, b2b, b2c, consulting, services, insurance agencies and brokerages, health & safety, insurance, insurance agencies & brokerages",'+44 12 7058 8555,"Route 53, Outlook, Microsoft Office 365, Hubspot, React Redux, React, Google Tag Manager, WordPress.org, Mobile Friendly, Trustpilot, Nginx, Bootstrap Framework, Remote","","","","",56267000,"",68b05e792592f00001923965,6361,52421,"Health Shield Friendly Society Ltd is a not-for-profit organization established in 1877, originally serving railway workers. Today, it supports over 400,000 customers and their families by providing employee health benefits. The company focuses on helping businesses implement sustainable healthcare strategies, emphasizing the importance of a healthy workforce.

Health Shield offers a variety of award-winning products, including health cash plans and health screening services. These offerings promote prevention and early intervention, enabling individuals to lead healthier and more productive lives. The company customizes its health benefits packages to meet the unique needs of businesses, regardless of their size.

With a mission to provide affordable and accessible health benefits, Health Shield is committed to being member-focused and continually improving its services. The organization has received multiple awards, including recognition as the 'Best Health Cash Plan Provider' at the Health Insurance Awards. Jacqui Carr serves as the CEO, leading a team of approximately 100 employees.",1877,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68ad7f84050704000183fb55/picture,"","","","",""
