company,example_job_title,example_job_url,location,source
Statflo,QA Analyst,https://www.workopolis.com/jobsearch/viewjob/Mc3ONT_QprvQODbTh46kGTmldVWphC7Y7jqhYpfD0ACOdbv9FwTQDG2wb5edMpRh,"Toronto, ON",Workopolis
goeasy,Data Quality Assurance (QA) Engineer,https://www.workopolis.com/jobsearch/viewjob/3NPxudFRA-EHbu6peJUoFMgV_2U_3voAvNuZ9JX7gNt1B7ABzJVTJrbC2Ao0UuPf,"Mississauga, ON",Workopolis
Push Operations,QA Automation Engineer,https://www.workopolis.com/jobsearch/viewjob/wwLZo1jCx6xfH7yWkZEZEc_ThJcXwFq4ypbt6qSgSfcQRAsedqQtNOU53S4zBVcq,"Vancouver, BC",Workopolis
Felix Payment Systems,QA Analyst,https://www.workopolis.com/jobsearch/viewjob/hsM7bbK_ly1hT16vNhcWjM5vTgAs7MJ2PCXK0tJ6ER_mTpYFUk93QEormzFWXvAT,"Vancouver, BC",Workopolis
Fastr,QA Developer,https://www.workopolis.com/jobsearch/viewjob/vWsQ9Ne5dVmnivd1zOlbgujhHkB1ocXUxd5VKgtrYXhEw7cNy8QwYzlRB75x3NVg,"North York, ON",Workopolis
TradableBits Media Inc.,Quality Assurance (QA) Analyst,https://www.workopolis.com/jobsearch/viewjob/amsaGCC3m_xQerw76ixVgQiPhfLglmYG3KsUmh1XCMHotV_4SWd2hZWIwSFuB9dD,"Vancouver, BC",Workopolis
Algo Communication Products,Intermediate QA Engineer,https://www.workopolis.com/jobsearch/viewjob/4FDxCGAFNkRzsCBdvyc1UEz9e--J63LqYFPUSIWq6VRPNugl-v6d_hDUO7BolSOm,"Burnaby, BC",Workopolis
Raz Design Inc,Quality Assurance (QA) Associate,https://www.workopolis.com/jobsearch/viewjob/kNjfLG1Wxs9in-N82vbhwY8jSqeRLgrqdimmq29I0h8TgtDZCiwk8IDu_ljsr9S8,"North York, ON",Workopolis
Connexall,QA Engineer,https://www.workopolis.com/jobsearch/viewjob/V0mmLgiVemS3NkfMANIypts_4PCxZtPswxCZyb46iU4y490DXGNzBNCQPVK6qyFh,"Toronto, ON",Workopolis
Xsolla,Intermediate QA Engineer,https://www.workopolis.com/jobsearch/viewjob/bC3hHaZh9rxojnROxC_rp_WxnUOGJ9B8a-1TxSU3HLIP9j6kDVXwltlQZhSqJ_Hg,"Montr??al, QC",Workopolis
RMSI,QA Engineer,https://www.workopolis.com/jobsearch/viewjob/IHxT2j7Uf6ZkbTNMAJsF-DWaPrLcKt501z8qTzrrNHGuV5XvsCVWazSuCIi-mROx,"Toronto, ON",Workopolis
ABCorp NA Inc.,Quality Assurance Specialist,https://www.workopolis.com/jobsearch/viewjob/REro7XicZFTgDfZDathD2DoSf_uzi00dBU96jGhoalq4iLqM1744RdgzOWUhLJud,"Scarborough, ON",Workopolis
Atlantis IT group,QA Developer,https://www.workopolis.com/jobsearch/viewjob/z8vzW3vhxMiQ1mdlmcLkXy4HmfSDJH8vGv8n5hvJPupHTdI1gH8oD9zQkEUTfIsG,"Toronto, ON",Workopolis
KG SprayPak Inc.,QA Technician,https://www.workopolis.com/jobsearch/viewjob/H2jZbITpR-TLnOjDmlZz7p34O71Hvu84rKdpren5qiRY0QuMcfu16d1G7WF5dVap,"Mississauga, ON",Workopolis
Legrand North America,Software Quality Assurance Analyst,https://www.workopolis.com/jobsearch/viewjob/tAWARE0n4ymHw-7oAwnyOwT0UyEtI4FamFmp1J8ucYENvKex00SE6gjRg3Wxh3PU,"Markham, ON",Workopolis
DDS WIRELESS INTL INC.,QA Specialist,https://www.workopolis.com/jobsearch/viewjob/feVV2ZarlHAVOh3fieSz3BpHIqUNTHku3LtmR86fxkct75R6OjvkE_7ZhK8g3Mjw,"Vancouver, BC",Workopolis
NextStar Energy,QA Inspector,https://www.workopolis.com/jobsearch/viewjob/UDsOul0y-16GIaW7bIMTvzTP--ee-SDxnJktyNVjjW4F0BOWm_rwo5fsLjDf29Xk,"Windsor, ON",Workopolis
Adlib Software,Software QA Lead (Temporary),https://www.workopolis.com/jobsearch/viewjob/l4g1lxnXMSKhhMJATeLELmvqUAi0V7kjQwLENIc0v4Xl16kJ1nnpo8RIQxI4uvR6,Ontario,Workopolis
Millsie Fine Foods,QA Technician,https://www.workopolis.com/jobsearch/viewjob/y-XXpOf8TeGRsCPWWRIWtdBAup2LQiiv713OGGg9Lbs9zk7DgKoDZpYgz9bVXJzy,"Richmond, BC",Workopolis
Karmakarah Technologies Inc.,QA Analyst,https://www.workopolis.com/jobsearch/viewjob/SmRXOyNtqYevxvys3WjUeEt9TdJ4rQonG3ggLJdYVk5EgF9QrekoaBp-PWNe46rv,"Moncton, NB",Workopolis
Motion Metrics International Corp.,Quality Assurance Specialist,https://www.workopolis.com/jobsearch/viewjob/1txabjlNwdHBMoLtRY5-twd-zhm_Sp-L3_NldkhrA-BrRRFxXexNoek4RnG8_owU,"Vancouver, BC",Workopolis
Acosta,Front End Quality Assurance Analyst Whirlpool,https://www.workopolis.com/jobsearch/viewjob/t81RjFQ8NMNRM9LQRmc_5VRCHynMp86qO5tB_hGvxP9i1luxlQnJModgVMUdtnmM,"Mississauga, ON",Workopolis
CBI Health,"Team Lead, Quality Assurance and Testing",https://www.workopolis.com/jobsearch/viewjob/1tZCPri8vh74QQxc3FpDaL3cdrbEVo4UKg0I7tYwLLKNOzt1G6ZXmPK3-EBdoCws,"Toronto, ON",Workopolis
Irth Solutions,Analyste QA,https://www.workopolis.com/jobsearch/viewjob/VNVWjgHhB-uQhpXx9Tcqu-wSpk5Y5uMP06DeM-kjn_smCfeMgw1xCX92U2E-H6vh,Quebec Province,Workopolis
Premium Global Foods Corp.,Quality Assurance Specialist - Food,https://www.workopolis.com/jobsearch/viewjob/sDiY_6r_Ao5igJxQxqrvnWk65oVQBKnDNzTO-h_GAy1vsQN_cxlIbTJjIC8NHW5J,"Woodbridge, ON",Workopolis
Speer Technologies Inc.,Quality Assurance Engineer,https://www.workopolis.com/jobsearch/viewjob/B3xVzKS2GMVrbzaEodBtPhlg5Qioy8LrqT7gL0SpMPxSsSh2fB53qoK8j9_I_3Tg,Remote,Workopolis
Spartakus Technologies,QA Engineer,https://www.workopolis.com/jobsearch/viewjob/GenjCe8aCpOTrIS0FZKMlWeOUSa0yYavxpbqOBd5nUrwmI-eYQgPif2o6oJuizyJ,"Kirkland, QC",Workopolis
Bamford Produce Company Limited,QA Specialist,https://www.workopolis.com/jobsearch/viewjob/Df4e5EQiB9pAGrcIHFDOxFprAwp-UOKKiiJiPmw25TAd_PPSX7_eQ1oV14hYzc4D,"Mississauga, ON",Workopolis
Foodtastic,Analyste QA - Digital QA Analyst,https://www.workopolis.com/jobsearch/viewjob/YFx6UJtqzaHwRKIrgMRvZWg-aWcFjLGgDjsYWgBwxgVSjB_SbQ1n2CCrIdO1On0E,"Montr??al, QC",Workopolis
RELQ TECHNOLOGIES LLC,QA Lead (Automation + Manual),https://www.workopolis.com/jobsearch/viewjob/nqb__32I-nQZm1OOb-LXl9FZzLAVrQ3YrtbJAEHRxFhiquAkIxnmwic8ZK0ZACcq,Alberta,Workopolis
Novarc Technologies Inc,Quality Assurance Tester,https://www.workopolis.com/jobsearch/viewjob/eafuZW5tJTCkxYEcTT0nbL3_UJWC79RS_1SqhfX6gM2jQLWQGpsMubUSF2rV7Zq-,"Burnaby, BC",Workopolis
SQA Canada Inc,QA Engineer,https://www.workopolis.com/jobsearch/viewjob/gsWBJPrbJ8jPDnIfD0QQm9cmwTZ0AFPVXZBVLbdWcAIfrAtoRsRbF0ddu5DA7g6n,"Vancouver, BC",Workopolis
Optix,QA Automation Engineer,https://www.workopolis.com/jobsearch/viewjob/UGfsQTAhqxyhkV_pHfIoQoNtwc7sLSdTNTl6nQJeGiN_6BV_WsgpXxoIw3mS_AKW,"Vancouver, BC",Workopolis
Black & McDonald Limited,QA/QC Specialist,https://www.workopolis.com/jobsearch/viewjob/jGnwHeyIzWq6r17qq8Jim4KNX4D-dk3r-X86ivXjMzbUqx972qp_dawNoSOF1hvA,"Greater Toronto Area, ON",Workopolis
Chrono Innovation,QA Automation Developer,https://www.workopolis.com/jobsearch/viewjob/IH2mKs6bN9BBnI5mbI2HlPOQM4lTkSRaOWVQJFVGBD2j8f3ushx13I9CoLuZXii2,"Montr??al, QC",Workopolis
Cam Tran,QA Technician (Afternoons),https://www.workopolis.com/jobsearch/viewjob/apoGjZ_s0QXjOEq6vyOPU17kq7TCVXAJ3o-nUYmvp0UQdgiPl4W7DERTTQrNDYQY,"Sackville, NB",Workopolis
CIBC,QA Consultant,https://www.workopolis.com/jobsearch/viewjob/Ay37uAyZZAfkgAcQMg5GMWr9xl8EHzKcx6HFWesTSHitci3zJjSorBBnrcDQE2B-,"Toronto, ON",Workopolis
TMX Group Limited,Senior QA Analyst,https://www.workopolis.com/jobsearch/viewjob/wE6YNQBNHFbElKE1yWHh5qSz3yxgM94YsO4-X2zYsLaUgT6ElacQSvwDMf4Af9rL,"Toronto, ON",Workopolis
EXFO,QA Analyst,https://www.workopolis.com/jobsearch/viewjob/JrL1i6nXWViDxwcyDoa7vclQxJnQtRz9P7N8VKkY3kKTmM-iPSf-uwEZY3fZTpIg,"Saint-Laurent, QC",Workopolis
MAD Elevator Inc,QA Inspector,https://www.workopolis.com/jobsearch/viewjob/laccSzH7dQsuJU1ZeqFhZPDU8IUQ-M_1KGWFhoYn_U31eyNbiBpPAzFcUAhgcLcN,"Mississauga, ON",Workopolis
Zydus Pharmaceuticals (Canada) Inc.,Quality Assurance Associate,https://www.workopolis.com/jobsearch/viewjob/AHJDWc9xFRqLsZPmce1lIpdgdw5H_D5us-0-pUPWbsxPvAYQGqH58lBbRUag8-DZ,"Mississauga, ON",Workopolis
ANVIL,Senior Quality Assurance Analyst,https://www.workopolis.com/jobsearch/viewjob/8O0wdXSjkKM6kKwF3mm2qdmycj80Wt5McVDu5kj0iCWTlxM8Z5WJ_vPirQw3lER4,Ontario,Workopolis
Jonas Software,QA Engineer (Performance),https://www.workopolis.com/jobsearch/viewjob/FKdNwVoiuyyNg-7oFYJ8nZsTbdM-z0Vn2SWpqkyyeKKHG3EYBAsNTdbX_j8XD341,Canada,Workopolis
VertiGIS GmbH,Quality Assurance Engineer,https://www.workopolis.com/jobsearch/viewjob/Lq9z0GOrEyblvyHOifJfaqud2gSACOttdtnNSloI9SX_jys7pB-kkZqSyt1LKgOX,"Victoria, BC",Workopolis
PORTA - Tradizione Italiana,Quality Assurance Technician ??? AM Shift,https://www.workopolis.com/jobsearch/viewjob/RbjG1WZzbF7Kva5PHubkUqmdW6K0DQ8pfqq9SXorcSL3ft9spHzDY8zmpuDJqV1Z,"Scarborough, ON",Workopolis
RPM TECHNOLOGIES CORP,Q/A Analyst,https://www.workopolis.com/jobsearch/viewjob/Wcx4D0KTWBnEKWJIO2LiTbJL4gtyM0ljNtwiKnJcnqEI0j8VqY6nYjkzymlq1pjU,"Toronto, ON",Workopolis
Upshop,QA Engineer,https://www.workopolis.com/jobsearch/viewjob/QhDxF293Y_mksm780zfUaLeQ2hdFtIW02OMUhqaCpCuO6dypf2MCNaTRO3gpLyxq,"Toronto, ON",Workopolis
AGAT Laboratories,Laboratory Quality Assurance Specialist - St. John's,https://www.workopolis.com/jobsearch/viewjob/oj2OLMKVA_Z53vGsOPVHEEDVYypIXxVqycM82D_dxBy5u79hTrtEp_soxj0RZ3hy,"St. John's, NL",Workopolis
Canadian Bank Note Company,QA Analyst - Bahamas Service Delivery Group,https://www.workopolis.com/jobsearch/viewjob/xZwz7C8032ib2uEaDSVjk2OqJEHc29wl60eIdkoxwJfGdhUuI_4JA6CkhSC6iKRZ,"Ottawa, ON",Workopolis
Thales,QA Engineer / QA Specialist,https://www.workopolis.com/jobsearch/viewjob/C-Daeob6eHzHxHy-i9wkLfQTd6X3ZT0jFXczRhuW5NZUXAe9KY7v27LSmvNnPOsK,"Vancouver, BC",Workopolis
TELUS Digital -,QA Automation Engineer,https://www.workopolis.com/jobsearch/viewjob/aarwU2-XqcN78Ql1sTslPmTTaEYdQtYWznj4SA9auQk-PydNT79U6Np_-bDI-fpm,"Vancouver, BC",Workopolis
AstraNorth,QA Automation - API Testing,https://www.workopolis.com/jobsearch/viewjob/qNFGZlMOi2YkeE_145Fj1QvEV5FXS4PSiYTJhsGlhieJ5YS4qHvau7MzEB2JWEQC,"Toronto, ON",Workopolis
MedMe Health,Intermediate QA Automation Engineer (APAC/LATAM),https://www.workopolis.com/jobsearch/viewjob/foZMW2FC44CiW9m_Cr5BnxtHQYlhlf4BnOb1qC4srDSB231dsT3TSO65sX4wjvxx,"Toronto, ON",Workopolis
Greenfield Global Inc.,Lab Technician - Quality Assurance,https://www.workopolis.com/jobsearch/viewjob/gQ1oRFYaUcdzD0QtFVbwcV4u_e1r-r600IoFtf0LEFt17FkwlM5qnDMu8Rcnn4z_,"Brampton, ON",Workopolis
Fujitsu,QA Automation Developer,https://www.workopolis.com/jobsearch/viewjob/XawrnkBypv1kIaRXnzqDIVRa2v91KI3LTjQ_tp4GLz2TMZ2K5zy6jmkRSFQVlg5k,"Edmonton, AB",Workopolis
Tecsys Inc.,QA Analyst (Accounting),https://www.workopolis.com/jobsearch/viewjob/39HkixVhKUylEOEm7QAnC8YjnL2lChDStI6wYjE-JZHwUxkMDOe_ECDMc4AK62mg,"Montr??al, QC",Workopolis
University of British Columbia,Quality Assurance & Tester,https://www.workopolis.com/jobsearch/viewjob/UDCM1m5rcL4cUe5s7KoBjOdvd78_d0tndbwrf40ltzkkjLuGgv1Lb__Bb2kw7DSW,"Vancouver, BC",Workopolis
Seaspan ULC,QA Analyst,https://www.workopolis.com/jobsearch/viewjob/55n7OaOcxFvVoa4S_Op2cE1_uDUCwaH_pL_idzeGWL4NuQ45rBPNw4FcM5DcOiGF,"North Vancouver, BC",Workopolis
PopUp Talent,"Quality Control, QA Technician",https://www.workopolis.com/jobsearch/viewjob/thlDd9JYTcQEad27_J1WTApFTWPmIn_2IasSeM2skrCap0cS7E_cKVraPnRWVr1B,"Ottawa, ON",Workopolis
Delta Intelligent Building Technologies (Canada) Inc.,Software QA Lead,https://www.workopolis.com/jobsearch/viewjob/l428VTFuWK0iPti7t06PD4VGRq-xKQMSiHWVGS4E-QdXSdtMlow4KhEZVoaQq6p2,"Surrey, BC",Workopolis
Westlake Royal Building Products,QC Inspector,https://www.workopolis.com/jobsearch/viewjob/DrIUJ3nvS8Gf9NZ-ktDJbcAQ6mcAuVqBG3qB99pAW3B_UaJdGdELOWbpcggRPk2i,"Woodbridge, ON",Workopolis
CSC Generation,Lead QA Engineer,https://www.workopolis.com/jobsearch/viewjob/U0y4EXP7G2TnAYlSwR8ixqrepnKjgJT4TZCYigHAgaZ45_7sjfsU8sIn_v3ksbcx,"Toronto, ON",Workopolis
Aphria Diamond,Quality Assurance Associate,https://www.workopolis.com/jobsearch/viewjob/GQiQa-9MpHolQOVYRUE-KT2mp25jCc4mosNbqxpP-5RY-LuyYnC8C0zBeETDo77J,"Leamington, ON",Workopolis
Canada Goose Inc.,"Coordinator, QA Finished Goods (Textile)",https://www.workopolis.com/jobsearch/viewjob/G-tmHm76eRoouqnzB58KcHLx4Tdze7PC04DcTo48ivbFFACmrg6wGGmTMPUgM-bC,"Scarborough, ON",Workopolis
PPT,Quality Assurance Specialist,https://www.workopolis.com/jobsearch/viewjob/nk3DLhRpfhPGB7lknSajNW3pOY8ycrTsmvZIQK_9tZDemp0Qhu4Qoyk7fwkSFih-,"Montr??al, QC",Workopolis
"Hexagon Mining, Inc.",Quality Assurance Analyst,https://www.workopolis.com/jobsearch/viewjob/DTPgGS7Sy18j-ct3jSs1quqbcvVKNfKV_ogWZyGT-E3IYVqdlNXllA4mgIpzqsyh,"Vancouver, BC",Workopolis
Refresco Canada Inc,QA Technician - Seasonal,https://www.workopolis.com/jobsearch/viewjob/UvlAZMjQwoAaoLPDWWxm92XiIYb0yrchKz2NrkBwji6bTMtXo66tmxzXJnlIRHS7,"Mississauga, ON",Workopolis
Government of New Brunswick,Quality Assurance Analyst,https://www.workopolis.com/jobsearch/viewjob/O7c1KoRK5HzfB6VyCQ7kRed4fpwNTyXa6RzCV6BNY784uN1jq-pZvu8em1BeqLME,New Brunswick,Workopolis
YO IT CONSULTING,QA Engineer - Code Review Expert,https://www.workopolis.com/jobsearch/viewjob/BewRm7t__-ZhkgKY6WHGW4M20nhCd1qY7ipovSGL95b5XdL7fgYR8Zz77IjZ_K-G,Canada,Workopolis
CNOOC International,QA Inspector,https://www.workopolis.com/jobsearch/viewjob/4k5B6Gi6QtfJTI3JrCFsLN1bdALfcX68tDBWAimI83g0QmBgEtOcg-KrAQX3HCKw,"Fort McMurray, AB",Workopolis
City of Calgary,Quality Assurance Analyst,https://www.workopolis.com/jobsearch/viewjob/6RN_sgXFPPdnj58oMNqucwgVPtjgAQep9CQaC9yuNtFV4eVmqD__Svu3m3zcPzAu,"Calgary, AB",Workopolis
Snaplii,Sr. Quality Assurance Engineer,https://www.workopolis.com/jobsearch/viewjob/gUl3r8INPNGwEF8Wq8XhSo69GbpAimYVuDVpaoVuF53b_-5mN-jyY8hPrCjVjBxo,"Toronto, ON",Workopolis
Vantix Systems Inc,QA Analyst,https://www.workopolis.com/jobsearch/viewjob/c9MQ6giOu_u4hTPOH6kZV0F9O3G19l7Rd7Va2t5TDtmWlTcpmZAIvCGZwbLS3AX4,"Edmonton, AB",Workopolis
KingswaySoft Inc.,Senior Software QA Engineer,https://www.workopolis.com/jobsearch/viewjob/DGFQIqrU3q28u0IO_7X4jhHnLitOCw-HbwkqsRJUBv8g8TdMN6I1xB0bf6nGvLBb,"Oakville, ON",Workopolis
Nutrien,QA Practice Lead,https://www.workopolis.com/jobsearch/viewjob/pVHBZRFIZrtMteuU-_6_-aBPnSW0F_oP26sKxj4dSzu3q3U40g-NAey9K0iuJfd0,"Calgary, AB",Workopolis
Impact.com,QA Lead,https://www.workopolis.com/jobsearch/viewjob/t3Z8Ieq0MN7BtMxHnkJAmaCBH3f4EiUAx3LhBjk22VjX-y0JvWnFkv5NdtVYTDeZ,"Victoria, BC",Workopolis
Nagarro,"Staff Engineer, QA Automation",https://www.workopolis.com/jobsearch/viewjob/K5Hx65dhf4nXLjUgakAq7jRvAQf8OOD4SZxbPNkpyZn8Nzd9vwfnARxfQMy-rD1q,Remote,Workopolis
NEOGOV,QA Lead,https://www.workopolis.com/jobsearch/viewjob/DLyGT3XuteJztfBAqu6m2s3xQHEryOUBdWBlf6f8OxxiRCBQsbdxTbZjTn9BSC5z,Ontario,Workopolis
WhiteWater West-,Quality Assurance Specialist,https://www.workopolis.com/jobsearch/viewjob/gvy32OjnUY_Lde3Y4IsSq4B6igx7yM4mnl07Q_x1xDcDcWja1EYcuE5WZNXgZPaB,"Richmond, BC",Workopolis
Offworld industries,QA Tester,https://www.workopolis.com/jobsearch/viewjob/WU709fkoQhPoKXxN51P2KFb3MTEaCBxEFHqc_5Bl1l34sEGqrU1u1KEHpxIcd2zh,"New Westminster, BC",Workopolis
Refresco,QA Technician - Seasonal,https://www.workopolis.com/jobsearch/viewjob/33CWxVwD3fNzzK57IjEkGq3Y0FmCYXtr5G23h4tgvymmTHG1rj6Yx_gLSRtN-oFX,"Calgary, AB",Workopolis
Orion Innovation,Intermediate Quality Analyst,https://www.workopolis.com/jobsearch/viewjob/mQ1Xx-iDO7LPetgXwh42IHPd6TAIflibXep5x-zjIWPPwDBLMokmyK5EsqBA0UJi,"Montr??al, QC",Workopolis
Bimbo Canada,Quality and Food Safety Technologist,https://www.workopolis.com/jobsearch/viewjob/nitzAS5nc8--k561MlZvqU75f_zvz7WIAwo2uaEg3drCdWQABsJ54AC2xtGcNZP2,"St. John's, NL",Workopolis
Lasso Informatics Inc Lasso Informatique Inc,Analyste QA,https://www.workopolis.com/jobsearch/viewjob/S8kQK_mVQiQZbHCngGy3tyQqBo83hs3Uq3EeToOSfHPUDIonPuwzRhlT7V7oAmrf,"Montr??al, QC",Workopolis
Trophy Foods Inc,QA Technician,https://www.workopolis.com/jobsearch/viewjob/N1ZT9ZLe9g1U6SCtX3f9VsARYR8upgAf1EPNN5pNWZDDjeQ5MgVZgR4kchwkCrKv,"Mississauga, ON",Workopolis
Ccube,Azure Data QA Tester ( Azure Databricks),https://www.workopolis.com/jobsearch/viewjob/dbP9P97GNQajsXlwJyqh7RfzRHRqyA-9QZHWw-kOAMTyarPSEC7o8vWPLd-oxmTJ,"Toronto, ON",Workopolis
Fortinet,QA - User Experience,https://www.workopolis.com/jobsearch/viewjob/nizD2FxM27AteIAY-iQKte1anDQMg9QwllgQWYR5nneID4Wwdd9-pGCM2gzdv14X,"Burnaby, BC",Workopolis
TechInsights,QA Test Automation Developer,https://www.workopolis.com/jobsearch/viewjob/CyuxKFxUTGyoufb5k-3BxwntMwatJEJZwcts-5Ghn-lByMrxkBiqWumqg_LzMsRk,"Ottawa, ON",Workopolis
Cyber-Infomax Solutions Inc.,Systems Testing/QA Specialist - Senior,https://www.workopolis.com/jobsearch/viewjob/ON94OWZL0yX1tzHzMZrXITrqbBiIotYcZzs3UX4F2s809quO1jAuPk4DZiSAFv0P,"Toronto, ON",Workopolis
NEWCOMER WOMEN'S SERVICES TORONTO,"Project Lead, QA",https://www.workopolis.com/jobsearch/viewjob/1TpUhKtvDs8tzWrqmETMeCMd6HGDxnesl-flB9I0W1XlBO73oDAjjcfwbqISWfVH,"Toronto, ON",Workopolis
